Gene Symbol	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
A2M	10.2575	10.5443	10.2839	10.2991	9.83775	10.2428	9.5066	9.52599	9.62679	9.87539
AAAS	9.71266	10.5564	9.65306	9.62757	9.71371	10.9285	10.2918	10.1654	9.26059	10.0903
AACS	9.81832	8.40969	11.3129	11.0744	10.6607	10.0076	10.0671	9.96096	9.87575	8.81251
AAK1	9.12009	9.17246	9.76948	9.94584	10.0253	10.4037	10.1896	10.3616	10.5908	10.4211
AAMDC	8.84595	10.1317	10.807	12.7309	9.80964	9.28451	8.10859	9.07256	10.6378	10.5714
AAMP	10.5988	9.85273	10.9275	11.3219	9.74187	9.42831	10.2309	10.3416	9.10991	8.44656
AAR2	10.0602	7.90762	12.381	10.814	9.86172	8.91334	9.74414	10.5964	10.1649	9.55672
AARS	7.74044	6.7502	10.6462	10.2737	11.6329	11.0068	12.5605	12.5554	8.83777	7.99607
AARS2	9.72004	10.3085	8.93542	8.80525	10.6618	11.6565	10.1957	10.2414	9.58104	9.89441
AARSD1	10.0703	8.57923	12.041	10.3219	10.0031	10.6522	9.84859	13.0835	7.97362	7.42648
AARSD1	9.41197	9.2364	9.84145	10.7475	10.8002	10.8069	11.8452	11.233	8.13812	7.93928
AASDHPPT	9.2495	8.70252	11.0364	11.6016	10.3394	11.2163	10.741	10.6774	8.13597	8.29979
AASS	10.3496	10.4943	8.73661	8.47621	11.0246	11.6373	9.95675	11.0186	9.0078	9.29819
AATF	10.7189	9.167	11.0756	8.19212	11.86	9.50528	12.1297	9.08671	9.84968	8.41495
ABCA2	10.3603	10.7683	10.2346	10.1134	9.09829	9.58298	8.76453	8.67751	11.1682	11.2318
ABCA7	8.53412	8.32073	10.2484	9.83791	9.46614	9.84496	8.31966	9.21136	13.2953	12.9215
ABCA8	10.0731	10.6266	10.5682	8.6038	11.2608	9.8931	7.13632	8.75339	10.8526	12.2321
ABCB1	10.6205	9.82739	8.58935	8.36036	10.6656	11.1144	8.03868	8.18167	12.3674	12.2346
ABCB10	8.90357	8.96229	8.75985	9.12269	11.4471	12.0208	9.87028	11.45	9.50705	9.95649
ABCB4	10.0932	9.69818	9.49863	9.62411	9.86959	10.5158	8.55826	8.88364	11.8167	11.4419
ABCB6	9.97167	9.83883	10.5675	9.24099	10.2158	10.3295	8.46212	9.00639	10.5684	11.7988
ABCB7	10.1092	9.90154	8.85592	8.70269	11.3808	12.5027	9.20399	10.8565	8.96313	9.52351
ABCB8	10.0398	10.3491	9.35499	9.54066	10.1187	11.3456	8.99619	8.25663	10.5797	11.4186
ABCC1	10.2341	9.14523	10.4982	9.35972	10.3824	10.0724	8.73425	9.31127	11.2388	11.0237
ABCC10	11.435	10.2459	8.75908	8.08425	11.6022	11.183	7.44063	8.78404	11.6101	10.8558
ABCC3	8.66014	8.2039	9.44315	8.42853	10.7716	11.6177	10.4545	11.2128	10.4395	10.7683
ABCC4	10.6974	9.27768	10.6019	9.54285	10.6933	10.2371	9.44413	9.66873	10.0562	9.78082
ABCC5	10.1203	9.46149	9.95346	9.06611	10.6668	11.5793	8.43782	8.69377	10.4013	11.6196
ABCC8	10.4035	10.924	10.5847	10.4963	9.05458	9.66981	9.18504	8.97508	9.65062	11.0564
ABCD1	11.5275	11.3288	8.70264	8.64202	9.13048	10.0578	8.02435	8.77593	11.5898	12.2207
ABCD3	11.6243	10.9162	8.86564	8.14778	9.34929	9.25875	8.36592	8.30008	12.494	12.6781
ABCE1	10.2547	9.37183	10.7637	10.9818	10.5754	10.5444	10.7897	10.6337	8.11382	7.97104
ABCF1	9.77406	8.87774	10.756	9.81293	10.7505	10.1162	10.6629	10.0732	10.094	9.08246
ABCF1	6.42115	11.9444	5.86714	13.4235	8.33704	15.049	8.45961	12.9131	6.31965	11.2654
ABCF2	9.99002	9.81429	9.88517	10.0782	10.7351	10.3702	11.4359	10.8368	8.56635	8.28795
ABCF3	10.2004	9.30007	10.1412	10.2996	10.3844	10.0055	10.516	10.3607	9.76074	9.03128
ABHD10	10.4039	10.4982	8.5035	8.94142	10.9226	11.1985	10.3168	10.5253	8.99493	9.69476
ABHD11	10.7653	9.7017	8.35654	8.26667	10.9496	12.1462	10.2618	10.6285	9.30108	9.62269
ABHD12	10.7133	11.2322	10.4267	10.0934	9.28609	10.0577	8.28921	9.16671	10.3501	10.3846
ABHD14B	8.90023	8.14025	11.4367	11.217	10.6893	10.398	9.78007	10.0861	10.0449	9.30748
ABHD16A	10.9531	10.1419	9.27332	9.58362	9.6053	9.85795	9.22383	9.28291	11.0724	11.0056
ABHD17B	11.1726	9.26412	10.8074	8.52402	10.4014	9.43417	10.3593	9.26503	10.4948	10.2772
ABHD3	10.6383	10.8217	7.1484	7.8044	8.27105	9.57315	10.3225	8.9911	13.2001	13.2293
ABHD4	7.07888	8.53203	8.02309	8.38548	7.92791	8.41528	8.86501	8.27525	17.0362	17.4608
ABHD5	9.30299	8.86141	10.3548	10.0756	9.65984	10.29	11.5091	10.727	9.46372	9.75549
ABHD6	9.2852	10.6671	9.5808	10.0068	9.41251	10.2023	8.36141	9.58086	11.5587	11.3443
ABI1	9.19248	9.93105	9.5244	9.76823	10.0701	10.4799	9.67567	10.0869	10.8298	10.4415
ABI2	10.1473	9.79588	9.75808	10.0034	9.93396	10.1098	9.88855	9.88962	10.2643	10.2091
ABL1	10.4796	9.90518	9.74102	10.7637	8.8187	8.98325	9.2737	9.16331	11.4244	11.4471
ABL2	10.1392	9.41824	10.2842	10.3192	9.90221	9.92767	9.86711	10.2089	9.86202	10.0713
ABLIM1	10.7947	10.6765	10.12	9.93	9.25402	9.06339	10.2295	9.60278	10.4322	9.89694
ABR	9.77727	8.2254	10.749	10.1747	10.1635	9.74259	9.66321	9.66876	11.0337	10.8018
