Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
A2M	7.875893306	7.832605875	7.500939871	7.609786433	7.187845434	6.802444861	7.202824001	7.194835425	7.139646948	7.123041976
A2M-AS1	1.68118582	0.922660326	1.595940332	1.890996438	1.983982123	1.272307658	2.059516279	1.796167443	1.977954105	1.332967291
A4GALT	5.194598369	5.644264694	5.693096863	5.503812236	5.241832283	5.331972634	5.379134454	5.60369916	5.824295218	6.080223947
AAAS	6.06312755	6.311922311	6.179004829	6.051728867	6.323488971	6.256348035	6.043378102	6.219502526	6.059772343	6.000639854
AACS	5.667551216	5.810457883	5.745803135	5.811932806	5.638285835	5.658390917	5.483571445	5.687280326	5.769259841	5.552949467
AADAT	3.291776567	3.050847982	3.400524808	3.394163518	3.359523749	3.447358827	3.858973965	3.788975488	3.421019327	3.284614778
AAED1	2.814454324	2.516593736	2.918034939	2.793648199	2.938972878	3.045148618	3.171395133	3.424815129	2.685311998	2.721397359
AAGAB	6.115010254	5.859836097	5.943849478	5.918078264	6.151999946	6.056842231	6.180117987	6.006512558	5.521863096	5.822235362
AAK1	3.158837621	3.508543494	3.298965511	3.127592262	3.736387674	3.827749518	3.325001284	3.184369351	4.828907845	3.300978977
AAMDC	2.311953295	2.061892274	2.102790307	2.056721734	1.787089701	1.897159768	1.810800188	1.704540476	2.469686647	2.721397359
AAMP	6.486326414	6.838151128	6.700516263	6.821010533	7.036822562	7.067440167	6.741622892	6.782876616	6.656787633	6.622423969
AAR2	5.758579265	6.006817986	5.827648739	5.82183688	5.854138982	5.982085029	5.736704488	5.745087864	5.548486608	5.703130906
AARS	7.770248263	8.012130058	9.027811539	8.870356263	9.258729486	9.393546409	8.860826601	8.961429968	8.224310467	8.38962205
AARS2	5.017011624	5.068995249	5.159809042	5.13419648	5.091316024	5.257855912	5.022750667	5.152201056	5.268348404	5.3646878
AARSD1	1.910211866	1.097519229	1.757799478	1.488485198	1.997068862	1.977138188	1.575453073	1.986028841	2.057478519	0.917843763
AASDH	3.060892479	2.845557113	2.990898834	2.637919077	2.890704271	2.781197361	2.999463802	2.853637534	2.718312559	2.830633617
AASDHPPT	4.29937698	3.96858815	3.744000695	4.076087919	4.321686035	4.291170742	4.280860353	4.239613861	3.14578235	3.30639272
AASS	3.589112895	3.17958559	3.422642368	3.433451609	3.522257712	2.9225717	3.164330839	3.287210796	4.061887373	3.864103361
AATF	5.866544289	6.163329235	6.199005404	6.012629215	6.437079746	6.931011873	6.375526782	6.270602323	5.894554764	5.699020625
AB019441.29	6.739617566	6.842251787	6.870660057	6.857577468	6.864109758	7.309691576	7.043510967	6.891112517	6.900463307	6.690253498
ABC7-42389800N19.1	4.072767282	4.244343725	4.038513661	4.283822286	4.614856469	4.050522469	4.154653517	4.283247942	4.029383846	4.030357564
ABCA1	2.856274547	2.901648941	3.220338149	3.143474793	2.727549156	2.704951026	2.059516279	1.986028841	3.32251307	3.338455374
ABCA2	7.436938449	7.862691984	8.069029721	7.991024975	7.762457763	7.545479174	7.600658903	7.780924461	7.708547839	8.019723369
ABCA3	4.98752032	5.042508922	5.65249774	5.443080641	5.607684279	5.742802686	5.648327854	5.83579553	4.600167193	5.020529536
ABCA4	2.370847078	2.399031787	2.145972207	1.988013756	2.236589567	2.530378504	2.162374534	2.356596446	3.038809658	3.103667869
